Gene_name,TAM111,TAM112,diff,abs_diff
TraesCS5B02G355800,7,32,-25,25
TraesCS3A02G005800,2,26,-24,24
TraesCS3B02G438800,2,25,-23,23
TraesCS1A02G413800,1,24,-23,23
TraesCS2A02G412300,15,38,-23,23
TraesCS3B02G484100,12,34,-22,22
TraesCS7B02G050500,23,45,-22,22
TraesCS7B02G072800,2,23,-21,21
TraesCS2D02G598300,13,34,-21,21
TraesCS3D02G423600,27,48,-21,21
TraesCS4A02G116400,2,23,-21,21
TraesCS3B02G037000,6,26,-20,20
TraesCS3D02G145900,6,26,-20,20
TraesCS4D02G189200,0,20,-20,20
TraesCS2D02G414300,2,21,-19,19
TraesCS2B02G119000,4,23,-19,19
TraesCS3B02G435100,36,55,-19,19
TraesCS5B02G244800,5,24,-19,19
TraesCS7D02G185200,5,23,-18,18
TraesCS1A02G197100,1,19,-18,18
TraesCS7B02G121800,7,24,-17,17
TraesCS3B02G378600,4,21,-17,17
TraesCS4D02G358700,1,18,-17,17
TraesCS3A02G297200,2,19,-17,17
TraesCS5A02G387400,2,18,-16,16
TraesCS3D02G319200,3,19,-16,16
TraesCS4D02G082600,55,71,-16,16
TraesCS5A02G330200,36,52,-16,16
TraesCS2D02G489200,2,18,-16,16
TraesCS3A02G428700,3,19,-16,16
TraesCS2A02G461300,9,24,-15,15
TraesCS1A02G263600,4,19,-15,15
TraesCS1A02G266600,5,20,-15,15
TraesCS2B02G102800,3,18,-15,15
TraesCS2D02G286300,1,15,-14,14
TraesCS4B02G051500,56,70,-14,14
TraesCS2B02G232400,8,22,-14,14
TraesCS2A02G088300,4,18,-14,14
TraesCS2D02G317800,5,19,-14,14
TraesCS7B02G167800,6,20,-14,14
TraesCS2A02G028700,4,18,-14,14
TraesCS4A02G055700,10,23,-13,13
TraesCS3A02G142900,3,16,-13,13
TraesCS4B02G173600,7,20,-13,13
TraesCS3D02G281900,5,18,-13,13
TraesCS7B02G128700,1,14,-13,13
TraesCS4D02G357100,65,78,-13,13
TraesCS2B02G211400,1,14,-13,13
TraesCS3B02G496500,7,20,-13,13
TraesCS4B02G222500,9,22,-13,13
TraesCS7D02G483200,3,15,-12,12
TraesCS1B02G443800,1,13,-12,12
TraesCS6D02G096300,9,21,-12,12
TraesCS6A02G112000,1,13,-12,12
TraesCS1A02G348800,6,18,-12,12
TraesCS5D02G194000,1,13,-12,12
TraesCS7B02G338200,2,14,-12,12
TraesCS1D02G390400,4,16,-12,12
TraesCS6B02G435500,1,13,-12,12
TraesCS4D02G223000,7,19,-12,12
TraesCS3A02G025300,3,15,-12,12
TraesCS5A02G018200,1,13,-12,12
TraesCS4A02G263300,60,71,-11,11
TraesCS7B02G121900,5,16,-11,11
TraesCS7A02G168000,4,15,-11,11
TraesCS6B02G096500,3,14,-11,11
TraesCS7A02G168100,3,14,-11,11
TraesCS1B02G100600,3,14,-11,11
TraesCS2D02G214100,10,21,-11,11
TraesCS4A02G007900,13,24,-11,11
TraesCS3D02G104000,1,12,-11,11
TraesCS7A02G439300,2,13,-11,11
TraesCS3B02G008200,3,14,-11,11
TraesCS7B02G265100,1,12,-11,11
TraesCS5D02G254100,3,14,-11,11
TraesCS6A02G297500,2,13,-11,11
TraesCS7B02G128000,4,15,-11,11
TraesCS4D02G249200,8,18,-10,10
TraesCS7D02G216600,7,17,-10,10
TraesCS1D02G084400,6,16,-10,10
TraesCS1D02G225200,6,16,-10,10
TraesCS2D02G444300,0,10,-10,10
TraesCS7B02G031000,9,19,-10,10
TraesCS4D02G295900,9,19,-10,10
TraesCS5D02G219300,0,10,-10,10
TraesCS4A02G080400,4,14,-10,10
TraesCS4B02G256800,1,11,-10,10
TraesCS4A02G009400,1,11,-10,10
TraesCS7D02G191600,1,11,-10,10
TraesCS3A02G103500,2,12,-10,10
TraesCS3B02G481800,3,13,-10,10
TraesCS4B02G342000,7,17,-10,10
TraesCS6A02G350300,4,14,-10,10
TraesCS5B02G431200,2,12,-10,10
TraesCS2A02G505600,7,16,-9,9
TraesCS4D02G362800,7,16,-9,9
TraesCS7D02G169000,1,10,-9,9
TraesCS7A02G304500,3,12,-9,9
TraesCS7B02G204800,4,13,-9,9
TraesCS2D02G101400,9,18,-9,9
TraesCS5B02G142100,0,9,-9,9
TraesCS2A02G448300,2,11,-9,9
TraesCS3D02G018000,0,9,-9,9
TraesCS3A02G276500,4,13,-9,9
TraesCS7A02G442500,10,19,-9,9
TraesCS7A02G183600,5,14,-9,9
TraesCS2B02G118900,10,19,-9,9
TraesCS3B02G354100,10,19,-9,9
TraesCS3D02G385600,3,12,-9,9
TraesCS6B02G377100,1,10,-9,9
TraesCS1B02G076300,8,16,-8,8
TraesCS3B02G158800,15,23,-8,8
TraesCS6B02G366700,1,9,-8,8
TraesCS2D02G576400,0,8,-8,8
TraesCS4B02G297000,3,11,-8,8
TraesCS4A02G333600,0,8,-8,8
TraesCS6B02G384500,3,11,-8,8
TraesCS2D02G557300,12,20,-8,8
TraesCS7B02G297700,3,11,-8,8
TraesCS2D02G481800,3,11,-8,8
