TF_name,TF_family,TAM111,TAM112,diff,abs_diff
TraesCS2A02G415100,AP2/EREBP,0,1,-1,1
TraesCS2A02G415300,AP2/EREBP,0,1,-1,1
TraesCS2A02G514300,AP2/EREBP,0,1,-1,1
TraesCS2B02G304800,AP2/EREBP,0,1,-1,1
TraesCS2B02G542400,AP2/EREBP,0,1,-1,1
TraesCS2D02G412400,AP2/EREBP,0,1,-1,1
TraesCS3D02G260100,AP2/EREBP,0,1,-1,1
TraesCS4A02G088400,AP2/EREBP,0,1,-1,1
TraesCS4D02G298600,AP2/EREBP,0,1,-1,1
TraesCS4D02G322600,AP2/EREBP,0,1,-1,1
TraesCS5A02G215900,AP2/EREBP,0,1,-1,1
TraesCS5D02G150500,AP2/EREBP,0,1,-1,1
TraesCS5D02G486600,AP2/EREBP,0,1,-1,1
TraesCS6A02G131200,AP2/EREBP,0,1,-1,1
TraesCS6A02G171900,AP2/EREBP,0,1,-1,1
TraesCS6A02G181400,AP2/EREBP,0,1,-1,1
TraesCS6A02G301900,AP2/EREBP,0,1,-1,1
TraesCS6B02G159600,AP2/EREBP,0,1,-1,1
TraesCS6B02G331000,AP2/EREBP,0,1,-1,1
TraesCS6B02G375400,AP2/EREBP,0,1,-1,1
TraesCS6D02G121100,AP2/EREBP,0,1,-1,1
TraesCS7D02G372700,AP2/EREBP,0,1,-1,1
TraesCS1B02G424700,ARF,0,1,-1,1
TraesCS2A02G309300,ARF,0,1,-1,1
TraesCS2A02G567300,ARF,0,1,-1,1
TraesCS2B02G397300,ARF,0,1,-1,1
TraesCS3B02G273400,ARF,0,1,-1,1
TraesCS6D02G127600,ARF,0,1,-1,1
TraesCS7A02G461700,ARF,0,1,-1,1
TraesCS2A02G448500,bHLH,0,1,-1,1
TraesCS3A02G204800,bHLH,0,1,-1,1
TraesCS3B02G236900,bHLH,0,1,-1,1
TraesCS4B02G056600,bHLH,0,1,-1,1
TraesCS5D02G313500,bHLH,0,1,-1,1
TraesCS6B02G295900,bHLH,0,1,-1,1
TraesCS7B02G211600,bHLH,0,1,-1,1
TraesCS1A02G332600,bHLH_TCP,0,1,-1,1
TraesCS1D02G335300,bHLH_TCP,0,1,-1,1
TraesCS5A02G309300,bHLH_TCP,0,1,-1,1
TraesCS5B02G310000,bHLH_TCP,0,1,-1,1
TraesCS6A02G412800,bHLH_TCP,0,1,-1,1
TraesCS4A02G268500,C2C2_CO-like,0,1,-1,1
TraesCS6B02G323400,C2C2_CO-like,0,1,-1,1
TraesCS6D02G274100,C2C2_CO-like,0,1,-1,1
TraesCS7B02G400600,C2C2_CO-like,0,1,-1,1
TraesCS2A02G591000,C2C2_Dof,0,1,-1,1
TraesCS2B02G592900,C2C2_Dof,0,1,-1,1
TraesCS3A02G271700,C2C2_Dof,0,1,-1,1
TraesCS3A02G377000,C2C2_Dof,0,1,-1,1
TraesCS1A02G340900,C2C2_GATA,0,1,-1,1
TraesCS1B02G353700,C2C2_GATA,0,1,-1,1
TraesCS1D02G343000,C2C2_GATA,0,1,-1,1
TraesCS3B02G603900,C2C2_GATA,0,1,-1,1
TraesCS4D02G095700,C2C2_GATA,0,1,-1,1
TraesCS5A02G022100,C2C2_GATA,0,1,-1,1
TraesCS5B02G018600,C2C2_GATA,0,1,-1,1
TraesCS1B02G203800,C2C2_YABBY,0,1,-1,1
TraesCS5B02G025100,C2C2_YABBY,0,1,-1,1
TraesCS1B02G425600,C3H,0,1,-1,1
TraesCS1B02G444400,C3H,0,1,-1,1
TraesCS1D02G405300,C3H,0,1,-1,1
TraesCS1D02G421700,C3H,0,1,-1,1
TraesCS2A02G039200,C3H,0,1,-1,1
TraesCS2A02G307700,C3H,0,1,-1,1
TraesCS2B02G051800,C3H,0,1,-1,1
TraesCS2B02G515600,C3H,0,1,-1,1
TraesCS3A02G179200,C3H,0,1,-1,1
TraesCS3B02G201900,C3H,0,1,-1,1
TraesCS3D02G181900,C3H,0,1,-1,1
TraesCS5A02G143400,C3H,0,1,-1,1
TraesCS5D02G119200,C3H,0,1,-1,1
TraesCS5D02G275300,C3H,0,1,-1,1
TraesCS6A02G340600,C3H,0,1,-1,1
TraesCS6B02G372100,C3H,0,1,-1,1
TraesCS6D02G321200,C3H,0,1,-1,1
TraesCS7A02G298900,C3H,0,1,-1,1
TraesCS7D02G294600,C3H,0,1,-1,1
