"","gene_name","neighbor1","neighbor2","neighbor_diff","abs_neighbor_diff"
"1493","SORBI_3003G044200",0,2,-2,2
"1494","SORBI_3003G044700",0,1,-1,1
"1495","SORBI_3003G047200",1,2,-1,1
"1496","SORBI_3003G047800",0,0,0,0
"1497","SORBI_3003G048000",0,6,-6,6
"1498","SORBI_3003G048700",0,0,0,0
"1499","SORBI_3003G049700",0,0,0,0
"1500","SORBI_3003G050200",0,0,0,0
"1501","SORBI_3003G050400",0,10,-10,10
"1502","SORBI_3003G050800",0,1,-1,1
"1503","SORBI_3003G052300",0,1,-1,1
"1504","SORBI_3003G052400",0,0,0,0
"1505","SORBI_3003G052900",0,2,-2,2
"1506","SORBI_3003G054200",0,1,-1,1
"1507","SORBI_3003G054400",0,0,0,0
"1508","SORBI_3003G054900",0,2,-2,2
"1509","SORBI_3003G055600",0,8,-8,8
"1510","SORBI_3003G056500",0,1,-1,1
"1511","SORBI_3003G057100",1,2,-1,1
"1512","SORBI_3003G057366",1,7,-6,6
"1513","SORBI_3003G057600",0,1,-1,1
"1514","SORBI_3003G058200",0,2,-2,2
"1515","SORBI_3003G058300",0,1,-1,1
"1516","SORBI_3003G058800",0,1,-1,1
"1517","SORBI_3003G059400",0,2,-2,2
"1518","SORBI_3003G060300",0,0,0,0
"1519","SORBI_3003G061300",0,0,0,0
"1520","SORBI_3003G061400",0,1,-1,1
"1521","SORBI_3003G061900",0,1,-1,1
"1522","SORBI_3003G062200",0,2,-2,2
"1523","SORBI_3003G064200",0,79,-79,79
"1524","SORBI_3003G064300",0,2,-2,2
"1525","SORBI_3003G065001",0,1,-1,1
"1526","SORBI_3003G067300",0,1,-1,1
"1527","SORBI_3003G067500",0,0,0,0
"1528","SORBI_3003G068100",0,0,0,0
"1529","SORBI_3003G068300",0,2,-2,2
"1530","SORBI_3003G070700",0,2,-2,2
"1531","SORBI_3003G070900",0,1,-1,1
"1532","SORBI_3003G073380",0,0,0,0
"1533","SORBI_3003G073800",0,0,0,0
"1534","SORBI_3003G075100",0,1,-1,1
"1535","SORBI_3003G075200",0,1,-1,1
"1536","SORBI_3003G075500",0,0,0,0
"1537","SORBI_3003G076200",0,0,0,0
"1538","SORBI_3003G078300",0,0,0,0
"1539","SORBI_3003G079200",0,8,-8,8
"1540","SORBI_3003G079300",0,6,-6,6
"1541","SORBI_3003G081900",5,20,-15,15
"1542","SORBI_3003G082200",0,0,0,0
"1543","SORBI_3003G082300",0,0,0,0
"1544","SORBI_3003G082500",0,1,-1,1
"1545","SORBI_3003G082600",1,18,-17,17
"1546","SORBI_3003G082900",0,0,0,0
"1547","SORBI_3003G083200",1,0,1,1
"1548","SORBI_3003G083500",0,0,0,0
"1549","SORBI_3003G084100",1,0,1,1
"1550","SORBI_3003G085100",0,1,-1,1
"1551","SORBI_3003G085300",0,0,0,0
"1552","SORBI_3003G085600",0,0,0,0
"1553","SORBI_3003G085700",0,4,-4,4
"1554","SORBI_3003G085800",0,0,0,0
"1555","SORBI_3003G086300",0,0,0,0
"1556","SORBI_3003G086700",0,0,0,0
"1557","SORBI_3003G087000",0,1,-1,1
"1558","SORBI_3003G087100",0,0,0,0
"1559","SORBI_3003G088100",0,2,-2,2
"1560","SORBI_3003G088500",0,12,-12,12
"1561","SORBI_3003G089300",0,1,-1,1
"1562","SORBI_3003G092200",0,1,-1,1
"1563","SORBI_3003G093100",0,0,0,0
"1564","SORBI_3003G094000",0,0,0,0
"1565","SORBI_3003G094350",0,2,-2,2
"1566","SORBI_3003G094600",0,0,0,0
"1567","SORBI_3003G097900",0,0,0,0
"1568","SORBI_3003G098000",0,1,-1,1
"1569","SORBI_3003G098200",0,0,0,0
"1570","SORBI_3003G100200",0,0,0,0
"1571","SORBI_3003G100800",0,0,0,0
"1572","SORBI_3003G101850",0,0,0,0
"1573","SORBI_3003G102000",1,0,1,1
"1574","SORBI_3003G105000",0,2,-2,2
"1575","SORBI_3003G105500",0,0,0,0
"1576","SORBI_3003G105700",0,1,-1,1
"1577","SORBI_3003G106200",0,1,-1,1
"1578","SORBI_3003G106500",1,1,0,0
"1579","SORBI_3003G106900",0,2,-2,2
"1580","SORBI_3003G107300",4,0,4,4
"1581","SORBI_3003G108300",0,9,-9,9
"1582","SORBI_3003G109900",0,2,-2,2
"1583","SORBI_3003G110200",0,0,0,0
"1584","SORBI_3003G111100",0,0,0,0
"1585","SORBI_3003G114100",0,0,0,0
"1586","SORBI_3003G115700",0,3,-3,3
"1587","SORBI_3003G115800",0,1,-1,1
"1588","SORBI_3003G117100",0,1,-1,1
"1589","SORBI_3003G117900",0,0,0,0
"1590","SORBI_3003G118100",0,0,0,0
"1591","SORBI_3003G119200",0,1,-1,1
"1592","SORBI_3003G121400",1,4,-3,3
"1593","SORBI_3003G122100",0,0,0,0
"1594","SORBI_3003G123200",0,0,0,0
"1595","SORBI_3003G123300",0,1,-1,1
"1596","SORBI_3003G125701",1,0,1,1
"1597","SORBI_3003G125900",0,0,0,0
"1598","SORBI_3003G126300",0,0,0,0
"1599","SORBI_3003G126500",0,0,0,0
"1600","SORBI_3003G127600",1,0,1,1
"1601","SORBI_3003G128800",0,0,0,0
"1602","SORBI_3003G129300",0,2,-2,2
"1603","SORBI_3003G130000",0,1,-1,1
"1604","SORBI_3003G134300",1,0,1,1
"1605","SORBI_3003G134400",3,4,-1,1
"1606","SORBI_3003G134500",0,0,0,0
"1607","SORBI_3003G135800",0,0,0,0
"1608","SORBI_3003G136200",0,0,0,0
"1609","SORBI_3003G136400",0,0,0,0
"1610","SORBI_3003G136500",0,1,-1,1
"1611","SORBI_3003G136900",0,2,-2,2
"1612","SORBI_3003G139100",0,1,-1,1
"1613","SORBI_3003G139300",0,2,-2,2
"1614","SORBI_3003G139366",0,2,-2,2
"1615","SORBI_3003G139500",0,3,-3,3
"1616","SORBI_3003G141000",1,0,1,1
"1617","SORBI_3003G141800",0,0,0,0
"1618","SORBI_3003G142100",0,0,0,0
"1619","SORBI_3003G144000",0,1,-1,1
"1620","SORBI_3003G144700",1,0,1,1
"1621","SORBI_3003G144900",0,2,-2,2
"1622","SORBI_3003G145100",0,3,-3,3
"1623","SORBI_3003G146300",0,0,0,0
"1624","SORBI_3003G146400",0,0,0,0
"1625","SORBI_3003G148600",0,0,0,0
"1626","SORBI_3003G148800",0,0,0,0
