Gene	SRR8667880
ENSRNA049479462	0
ENSRNA049479468	0
ENSRNA049479472	0
ENSRNA049479477	0
ENSRNA049479482	0
ENSRNA049479484	0
ENSRNA049479487	0
ENSRNA049479490	0
ENSRNA049479493	0
ENSRNA049479497	0
ENSRNA049479500	0
ENSRNA049479502	0
ENSRNA049479504	0
ENSRNA049479507	0
ENSRNA049479510	0
ENSRNA049479513	0
ENSRNA049479517	0
ENSRNA049479519	0
ENSRNA049479521	0
ENSRNA049479524	0
ENSRNA049479528	0
ENSRNA049479533	0
ENSRNA049479535	0
ENSRNA049479538	0
ENSRNA049479542	0
ENSRNA049479545	0
ENSRNA049479547	0
ENSRNA049479551	0
ENSRNA049479553	0
ENSRNA049479555	0
ENSRNA049479558	0
ENSRNA049479561	0
ENSRNA049479565	0
ENSRNA049479570	0
ENSRNA049479576	0
ENSRNA049479577	0
ENSRNA049479580	0
ENSRNA049479582	0
ENSRNA049479586	0
ENSRNA049479587	0
ENSRNA049479594	0
ENSRNA049479597	0
ENSRNA049479599	0
ENSRNA049479603	0
ENSRNA049479606	0
ENSRNA049479610	0
ENSRNA049479613	0
ENSRNA049479617	0
ENSRNA049479619	0
ENSRNA049479621	0
ENSRNA049479625	0
ENSRNA049479628	0
ENSRNA049479631	0
ENSRNA049479636	0
ENSRNA049479638	0
ENSRNA049479640	0
ENSRNA049479644	0
ENSRNA049479646	0
ENSRNA049479648	0
ENSRNA049479652	0
ENSRNA049479654	0
ENSRNA049479656	0
ENSRNA049479661	0
ENSRNA049479668	0
ENSRNA049479671	0
ENSRNA049479677	0
ENSRNA049479681	0
ENSRNA049479687	0
ENSRNA049479691	0
ENSRNA049479694	0
ENSRNA049479697	0
ENSRNA049479704	0
ENSRNA049479706	0
ENSRNA049479710	0
ENSRNA049479714	0
ENSRNA049479718	0
ENSRNA049479720	0
ENSRNA049479723	0
ENSRNA049479726	0
ENSRNA049479727	0
ENSRNA049479732	0
ENSRNA049479735	0
ENSRNA049479741	0
ENSRNA049479743	0
ENSRNA049479746	0
ENSRNA049479749	0
ENSRNA049479752	0
ENSRNA049479757	0
ENSRNA049479762	0
ENSRNA049479766	0
ENSRNA049479769	0
ENSRNA049479771	0
ENSRNA049479775	0
ENSRNA049479779	0
ENSRNA049479782	0
ENSRNA049479786	0
ENSRNA049479787	0
ENSRNA049479791	0
ENSRNA049479792	0
ENSRNA049479794	0
ENSRNA049479797	0
ENSRNA049479799	0
ENSRNA049479802	0
ENSRNA049479805	0
ENSRNA049479807	0
ENSRNA049479811	0
ENSRNA049479813	0
ENSRNA049479815	0
ENSRNA049479818	0
ENSRNA049479824	0
