TF_name,TF_family,TAM111,TAM112,diff,abs_diff
TraesCS2B02G355300,NAC,2,2,0,0
TraesCS3B02G093300,NAC,2,4,-2,2
TraesCS4A02G131000,NAC,2,53,-51,51
TraesCS5A02G049100,NAC,2,0,2,2
TraesCS5A02G143100,NAC,2,3,-1,1
TraesCS5A02G468300,NAC,2,0,2,2
TraesCS5D02G059700,NAC,2,8,-6,6
TraesCS7A02G464800,NAC,2,3,-1,1
TraesCS7D02G365200,NAC,2,2,0,0
TraesCS7D02G451700,NAC,2,1,1,1
TraesCS3B02G560600,PLATZ,2,5,-3,3
TraesCS3D02G505000,PLATZ,2,4,-2,2
TraesCS7A02G394800,PLATZ,2,3,-1,1
TraesCS7B02G296800,PLATZ,2,4,-2,2
TraesCS4A02G105300,Pseudo ARR-B,2,3,-1,1
TraesCS2B02G422400,RWP-RK,2,1,1,1
TraesCS5A02G114700,Sir2,2,1,1,1
TraesCS3A02G491500,SRS,2,2,0,0
TraesCS7A02G422900,tify,2,1,1,1
TraesCS3B02G379200,WRKY,2,2,0,0
TraesCS5B02G384600,WRKY,2,1,1,1
TraesCS5D02G390800,WRKY,2,1,1,1
TraesCS7A02G343000,WRKY,2,0,2,2
TraesCS7D02G336400,WRKY,2,0,2,2
TraesCS7D02G345700,WRKY,2,2,0,0
TraesCS5B02G297100,ABI3/VP1,1,1,0,0
TraesCS5D02G304900,ABI3/VP1,1,1,0,0
TraesCS1A02G075800,ABI3/VP1,1,1,0,0
TraesCS1D02G078100,ABI3/VP1,1,0,1,1
TraesCS1D02G302100,ABI3/VP1,1,0,1,1
TraesCS2A02G144100,ABI3/VP1,1,0,1,1
TraesCS2A02G465700,ABI3/VP1,1,1,0,0
TraesCS2B02G168900,ABI3/VP1,1,0,1,1
TraesCS2B02G178300,ABI3/VP1,1,2,-1,1
TraesCS2B02G487800,ABI3/VP1,1,1,0,0
TraesCS2D02G466100,ABI3/VP1,1,1,0,0
TraesCS3A02G285500,ABI3/VP1,1,2,-1,1
TraesCS3B02G319400,ABI3/VP1,1,1,0,0
TraesCS3D02G285300,ABI3/VP1,1,1,0,0
TraesCS3D02G504400,ABI3/VP1,1,0,1,1
